id,category,question,answer,related_pages,keywords,steps,priority,is_active,created_at,updated_at,usage_count
5a0ef72e-6b53-4f4e-bb2a-037d36feedc3,navigation,如何进入创作中心？,您可以通过以下方式进入创作中心：,"[""/create"",""/creation-workshop""]","[""创作"",""开始"",""新建"",""制作""]","[{""step"":1,""action"":""点击左侧导航栏的创作中心"",""detail"":""或点击首页的「开始创作」按钮""},{""step"":2,""action"":""选择创作类型"",""detail"":""图文、视频、设计等""},{""step"":3,""action"":""开始您的创作"",""detail"":""使用AI辅助工具或手动创作""}]",9,true,"""2026-02-11T02:53:21.675Z""","""2026-02-11T02:53:21.675Z""",0
355f1fc5-4ad4-4c63-a2f1-7f06fbed7fec,navigation,津脉广场在哪里？,津脉广场是平台的社区中心，您可以在这里发现热门作品和创作者。,"[""/square""]","[""广场"",""社区"",""发现"",""热门""]","[{""step"":1,""action"":""点击左侧导航栏的「津脉广场」"",""detail"":""或访问 /square 路径""},{""step"":2,""action"":""浏览推荐内容"",""detail"":""查看热门作品和创作者""},{""step"":3,""action"":""互动参与"",""detail"":""点赞、评论、关注感兴趣的内容""}]",9,true,"""2026-02-11T02:53:21.675Z""","""2026-02-11T02:53:21.675Z""",0
87821a5a-2dcd-48ca-b0f6-ce3e11538ac1,navigation,如何查看我的作品？,您可以在「我的作品」页面查看和管理所有创作。,"[""/my-works""]","[""作品"",""管理"",""查看"",""我的""]","[{""step"":1,""action"":""点击左侧导航栏的「我的作品」"",""detail"":""或访问 /my-works 路径""},{""step"":2,""action"":""筛选和排序"",""detail"":""按类型、时间、状态筛选作品""},{""step"":3,""action"":""管理作品"",""detail"":""编辑、删除或分享您的作品""}]",8,true,"""2026-02-11T02:53:21.675Z""","""2026-02-11T02:53:21.675Z""",0
8c76c54c-3988-4b14-8e7d-03d0dc7a3ed2,operation,如何发布作品？,发布作品非常简单，只需几个步骤：,"[""/create"",""/my-works""]","[""发布"",""上传"",""分享"",""提交""]","[{""step"":1,""action"":""完成创作"",""detail"":""在创作中心完成您的作品""},{""step"":2,""action"":""点击「发布」按钮"",""detail"":""位于编辑器右上角""},{""step"":3,""action"":""填写作品信息"",""detail"":""标题、描述、标签、封面等""},{""step"":4,""action"":""选择发布范围"",""detail"":""公开、仅粉丝或私密""},{""step"":5,""action"":""确认发布"",""detail"":""点击「确认发布」即可""}]",10,true,"""2026-02-11T02:53:21.675Z""","""2026-02-11T02:53:21.675Z""",0
7ef5a35e-289e-43a3-ac81-6bbd68b67393,operation,如何使用AI生成功能？,平台提供强大的AI生成能力，包括文本、图像、视频生成。,"[""/create"",""/neo""]","[""AI"",""生成"",""人工智能"",""创作""]","[{""step"":1,""action"":""进入创作中心"",""detail"":""点击左侧导航栏的创作中心""},{""step"":2,""action"":""选择AI工具"",""detail"":""文本生成、图像生成或视频生成""},{""step"":3,""action"":""输入提示词"",""detail"":""描述您想要生成的内容""},{""step"":4,""action"":""调整参数"",""detail"":""风格、尺寸、数量等""},{""step"":5,""action"":""生成并保存"",""detail"":""等待生成完成后保存到作品""}]",10,true,"""2026-02-11T02:53:21.675Z""","""2026-02-11T02:53:21.675Z""",0
eae1c3d6-7373-4c3a-9c42-958f34c6d1f1,operation,如何参与文化活动？,平台定期举办各类文化活动，参与方式如下：,"[""/cultural-events"",""/events""]","[""活动"",""参与"",""报名"",""文化""]","[{""step"":1,""action"":""浏览活动列表"",""detail"":""进入文化活动页面查看当前活动""},{""step"":2,""action"":""选择感兴趣的活动"",""detail"":""查看活动详情和要求""},{""step"":3,""action"":""点击「参与活动」"",""detail"":""或根据活动要求提交作品""},{""step"":4,""action"":""等待审核"",""detail"":""部分活动需要主办方审核""},{""step"":5,""action"":""参与活动"",""detail"":""按照活动规则完成任务""}]",8,true,"""2026-02-11T02:53:21.675Z""","""2026-02-11T02:53:21.675Z""",0
ebdc0d45-045f-49dc-b405-d45194890c70,feature,文创市集是什么？,文创市集是平台的电商模块，您可以购买或销售文创产品。,"[""/marketplace""]","[""市集"",""购买"",""销售"",""文创"",""商品""]","[{""step"":1,""action"":""进入文创市集"",""detail"":""点击左侧导航栏的文创市集""},{""step"":2,""action"":""浏览商品"",""detail"":""按分类筛选感兴趣的产品""},{""step"":3,""action"":""购买或开店"",""detail"":""购买心仪商品或申请成为卖家""}]",7,true,"""2026-02-11T02:53:21.675Z""","""2026-02-11T02:53:21.675Z""",0
202c90b9-6d08-4eb2-a740-7497504f7f8d,feature,什么是灵感引擎？,灵感引擎是AI驱动的创意辅助工具，帮助您获得创作灵感。,"[""/neo""]","[""灵感"",""创意"",""AI"",""辅助""]","[{""step"":1,""action"":""进入灵感引擎"",""detail"":""点击左侧导航栏的灵感引擎""},{""step"":2,""action"":""选择灵感类型"",""detail"":""文案、设计、策划等""},{""step"":3,""action"":""输入关键词"",""detail"":""描述您的创作方向""},{""step"":4,""action"":""获取灵感"",""detail"":""AI将为您生成创意建议""}]",8,true,"""2026-02-11T02:53:21.675Z""","""2026-02-11T02:53:21.675Z""",0
9616d052-d708-49c2-8a11-7788a334e6fa,feature,如何获得积分？,平台积分可以通过多种方式获得，用于兑换权益。,"[""/dashboard""]","[""积分"",""获取"",""奖励"",""点数""]","[{""step"":1,""action"":""每日签到"",""detail"":""连续签到可获得更多积分""},{""step"":2,""action"":""发布优质作品"",""detail"":""获得点赞和收藏可赚取积分""},{""step"":3,""action"":""参与活动"",""detail"":""完成活动任务获得积分奖励""},{""step"":4,""action"":""社区互动"",""detail"":""评论、分享、关注也可获得积分""}]",7,true,"""2026-02-11T02:53:21.675Z""","""2026-02-11T02:53:21.675Z""",0
8f05ad14-f371-413c-8498-0876fc052240,guide,新手如何快速上手？,欢迎加入津脉智坊！以下是新手指南：,"[""/""]","[""新手"",""入门"",""开始"",""教程""]","[{""step"":1,""action"":""完善个人资料"",""detail"":""设置头像、昵称、简介""},{""step"":2,""action"":""浏览平台功能"",""detail"":""了解创作中心、广场、市集等模块""},{""step"":3,""action"":""尝试AI创作"",""detail"":""使用灵感引擎生成第一个作品""},{""step"":4,""action"":""参与社区互动"",""detail"":""关注创作者，点赞评论作品""},{""step"":5,""action"":""发布您的作品"",""detail"":""分享给社区，获得反馈""}]",10,true,"""2026-02-11T02:53:21.675Z""","""2026-02-11T02:53:21.675Z""",0
