id,name,description,icon,rarity,category,criteria,points,is_active,created_at,updated_at
1,初次创作,完成第一篇创作作品,star,common,creation,完成1篇作品,10,true,"""2026-02-26T08:31:40.548Z""","""2026-02-26T08:31:40.548Z"""
2,活跃创作者,连续7天登录平台,fire,common,community,连续登录7天,20,true,"""2026-02-26T08:31:40.548Z""","""2026-02-26T08:31:40.548Z"""
3,人气王,获得100个点赞,thumbs-up,rare,community,获得100个点赞,50,true,"""2026-02-26T08:31:40.548Z""","""2026-02-26T08:31:40.548Z"""
4,文化传播者,使用5种不同文化元素,book,rare,creation,使用5种不同文化元素,40,true,"""2026-02-26T08:31:40.548Z""","""2026-02-26T08:31:40.548Z"""
5,作品达人,发布10篇作品,image,rare,creation,发布10篇作品,80,true,"""2026-02-26T08:31:40.548Z""","""2026-02-26T08:31:40.548Z"""
6,商业成功,作品被品牌采纳,handshake,epic,special,作品被品牌采纳1次,200,true,"""2026-02-26T08:31:40.548Z""","""2026-02-26T08:31:40.548Z"""
7,传统文化大师,精通传统文化知识,graduation-cap,legendary,special,完成10个文化知识问答,300,true,"""2026-02-26T08:31:40.548Z""","""2026-02-26T08:31:40.548Z"""
8,创作新手,发布3篇作品,pen-tool,common,creation,发布3篇作品,15,true,"""2026-02-26T08:31:40.548Z""","""2026-02-26T08:31:40.548Z"""
9,多产作者,发布50篇作品,layers,rare,creation,发布50篇作品,100,true,"""2026-02-26T08:31:40.548Z""","""2026-02-26T08:31:40.548Z"""
10,创作狂人,发布100篇作品,zap,epic,creation,发布100篇作品,200,true,"""2026-02-26T08:31:40.548Z""","""2026-02-26T08:31:40.548Z"""
11,创作传奇,发布500篇作品,crown,legendary,creation,发布500篇作品,1000,true,"""2026-02-26T08:31:40.548Z""","""2026-02-26T08:31:40.548Z"""
12,点赞新手,获得10个点赞,heart,common,community,获得10个点赞,10,true,"""2026-02-26T08:31:40.548Z""","""2026-02-26T08:31:40.548Z"""
13,受欢迎,获得500个点赞,award,rare,community,获得500个点赞,80,true,"""2026-02-26T08:31:40.548Z""","""2026-02-26T08:31:40.548Z"""
14,超级明星,获得1000个点赞,star,epic,community,获得1000个点赞,150,true,"""2026-02-26T08:31:40.548Z""","""2026-02-26T08:31:40.548Z"""
15,评论达人,发表评论50次,message-circle,rare,community,发表评论50次,60,true,"""2026-02-26T08:31:40.548Z""","""2026-02-26T08:31:40.548Z"""
16,收藏专家,收藏100个作品,bookmark,rare,community,收藏100个作品,70,true,"""2026-02-26T08:31:40.548Z""","""2026-02-26T08:31:40.548Z"""
17,分享大使,分享作品30次,share-2,rare,community,分享作品30次,50,true,"""2026-02-26T08:31:40.548Z""","""2026-02-26T08:31:40.548Z"""
18,坚持就是胜利,连续登录30天,calendar,rare,community,连续登录30天,100,true,"""2026-02-26T08:31:40.548Z""","""2026-02-26T08:31:40.548Z"""
19,忠实用户,连续登录100天,calendar-check,epic,community,连续登录100天,300,true,"""2026-02-26T08:31:40.548Z""","""2026-02-26T08:31:40.548Z"""
20,年度用户,连续登录365天,calendar-days,legendary,community,连续登录365天,1000,true,"""2026-02-26T08:31:40.548Z""","""2026-02-26T08:31:40.548Z"""
21,AI探索者,使用AI生成10张图片,cpu,common,creation,使用AI生成10张图片,20,true,"""2026-02-26T08:31:40.548Z""","""2026-02-26T08:31:40.548Z"""
22,AI创作者,使用AI生成100张图片,sparkles,rare,creation,使用AI生成100张图片,100,true,"""2026-02-26T08:31:40.548Z""","""2026-02-26T08:31:40.548Z"""
23,视频创作者,发布10个视频作品,video,rare,creation,发布10个视频作品,80,true,"""2026-02-26T08:31:40.548Z""","""2026-02-26T08:31:40.548Z"""
24,视频大师,发布50个视频作品,film,epic,creation,发布50个视频作品,250,true,"""2026-02-26T08:31:40.548Z""","""2026-02-26T08:31:40.548Z"""
25,文化守护者,使用10种不同文化元素,shield,epic,special,使用10种不同文化元素,150,true,"""2026-02-26T08:31:40.548Z""","""2026-02-26T08:31:40.548Z"""
26,津门传承者,创作20个天津文化相关作品,landmark,epic,special,创作20个天津文化相关作品,200,true,"""2026-02-26T08:31:40.548Z""","""2026-02-26T08:31:40.548Z"""
27,完美主义者,获得10个作品评分超过90分,target,epic,special,获得10个作品评分超过90分,180,true,"""2026-02-26T08:31:40.548Z""","""2026-02-26T08:31:40.548Z"""
28,社交达人,获得100个粉丝,users,rare,community,获得100个粉丝,100,true,"""2026-02-26T08:31:40.548Z""","""2026-02-26T08:31:40.548Z"""
29,意见领袖,获得1000个粉丝,user-check,epic,community,获得1000个粉丝,300,true,"""2026-02-26T08:31:40.548Z""","""2026-02-26T08:31:40.548Z"""
30,津脉之星,登上排行榜前10名,trophy,legendary,special,登上排行榜前10名,500,true,"""2026-02-26T08:31:40.548Z""","""2026-02-26T08:31:40.548Z"""
